"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0543","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","4083","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","2871","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0395","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","2807","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0343","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","5818","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0347","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","5459","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","5327","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","3507","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","3485","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1795","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0376","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","6893","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","5816","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","6892","Skeleton","","",NA,NA,NA,1
