"Waterbody","Count"
"lake wilmington",1
"lake worth",1
"lane creek",1
"largateria creek",1
"las moras creek",1
"las moras spring",1
"lawrence lake",1
"leon creek",1
"lewis river",1
"little cypress bayou",1
"little dry creek",1
"little larabee creek",1
"little ossipee river",1
"little river canal",1
"long creek",1
"lower laguna madre",1
"lower shotgun creek",1
"lower soda spring creek",1
"lower spring creek",1
"lubrzanka river",1
"lumber river drainage",1
"lyall bay",1
"lynnhaven inlet",1
"lyons creek",1
"machinaw river",1
"madagorda bay",1
"mahone bay",1
"mail carrier's club lake",1
"managua lake",1
"marion",1
"maxfield brook",1
"mccloud river drainage",1
"medina lake",1
"meridosia bay",1
"michigan river",1
"mid saluda river",1
"middle creek",1
"middle salt river",1
"middle soda spring creek",1
"mills creek",1
"millville creek",1
"mines creek",1
"mission river",1
"monterey harbor",1
"montsweag bay",1
"moody creek",1
"moosehead lake",1
"moreton bay",1
"moses lake",1
"mossy lake",1
"mountain fork",1
"msu farm pond",1
"murual creek",1
"mustang creek.",1
"nagare-gawa river",1
"nense river drainage",1
"neuse river drainage",1
"nichols creek",1
"nimrod lake",1
"nine mile pond",1
"north concho river",1
"north lake",1
"ochillee creek",1
"ohkawa river",1
"oklawaha river",1
"okpara reservoir",1
"onion creek",1
"osage creek",1
"oscar creek",1
"ouachita river drainage",1
"oyster lake",1
"padre island national seashore",1
"pajaro river",1
"palacios river",1
"panama bay",1
"park lake",1
"parson's slough",1
"pasiba river",1
"pasinski pond",1
"pasragoula river",1
"patuxent river",1
"pecatonica river",1
"pennington creek",1
"perdido river drainage",1
"peruvilai",1
"piankatank river",1
"pickeral creek",1
"pine lake",1
"platte river",1
"pollard creek",1
"porto novo",1
"possum kingdom lake",1
"potato creek",1
"prairie creek",1
"pryor spring",1
"puerto cortes",1
"purgatoire river",1
"quanico river",1
"quko river",1
"railroad pond",1
"ramos river",1
"rappahannoch river",1
"rattlesnake springs",1
"redfish cove",1
"resaca de los fresnos",1
"rifle creek",1
"rifle river",1
"rio atitisquillo",1
"rio cangrejal",1
"rio caño negro",1
"rio frijoles",1
"rio gatun",1
"rio indio",1
"rio lampasas",1
"rio lempa",1
"rio penasco",1
"rio sumpul",1
"rio tamarindo drainage",1
"rio tambopata",1
"roadside pond",1
"rock river",1
"rockport",1
"río atehaunse",1
"río ayutla",1
"río burgos",1
"río cairizalas",1
"río chacamax drainage",1
"río chihue",1
"río chorro",1
"río daule",1
"río de teguisixtlan",1
"río el pilon",1
"río grande de catemaco",1
"río grijalua drainage",1
"río guatalejo",1
"río jalpan (r. panuco)",1
"río jatate",1
"río jatate drainage",1
"río jequetepeque",1
"río laguna larga",1
"río laja",1
"río macanilla",1
"río madre de dios",1
"río mante",1
"río panuco drainage",1
"río portuguesa",1
"río ramas",1
"río ramos",1
"río san juan",1
"río tepozapa",1
"río tonala floodplain",1
"río tula",1
"río tulija drainage",1
"río wallelejho",1
"sabano creek",1
"sabattus pond",1
"sabbathday lake",1
"sagavanirktok river",1
"salmon creek",1
"salt fork red river",1
"salto de eyipantla",1
"san carlos key",1
"san francisquito creek",1
"san jacinto river drainage",1
"san luis pass",1
"sangamon river",1
"sapillo creek",1
"sarapiqui r. dr.",1
"sarapiqui r.dr.",1
"savanna river drainage",1
"sayhall's bayou",1
"school lake",1
"scroungeabout creek",1
"sea of japan",1
"sebastian river",1
"self creek",1
"sewage lake",1
"sheepshead bay",1
"singkep island",1
"sinsinawa river",1
"sisquoc river",1
"slough creek",1
"south conchos river",1
"southeast atlantic ocean",1
"spafford creek",1
"spotted creek",1
"spring",1
"spring lake",1
"spring river",1
"spruce lake",1
"st. francis",1
"st. francis bay",1
"st. joseph bay",1
"st. mary's river",1
"steamboat lake",1
"still river",1
"storm lake",1
"striker's creek",1
"sulphur creek",1
"superior canal",1
"swan creek",1
"swan creek drainage",1
"sydney harbor",1
"talisheck creek",1
"tallahatchee creek",1
"tamarack creek",1
"tauton mill stream",1
"tchefuncte river",1
"terrapin creek",1
"thompson lake",1
"thompson river",1
"thompsons creek",1
"tom's creek",1
"tombigbee river drainage",1
"tompkins cove",1
"tone-gawa river",1
"torigoe-gawa river",1
"trace fork",1
"tres palacios river",1
"trout creek",1
"turner lake",1
"un-named stream",1
"uncle charlie's blue hole",1
"union river",1
"university of houston pond",1
"university of houston reflection pool",1
"unnamed stream",1
"upper kings pond",1
"upper lake",1
"upper mississippi river",1
"upper range pond",1
"upper shotgun creek",1
"vallecitos creek",1
"vembanoor",1
"waco creek",1
"wallace creek",1
"wanderer creek",1
"washita river",1
"we creek",1
"wekiva river",1
"west branch black river",1
"west creek",1
"west fork san jacinto river",1
"white rock lake",1
"whitewater creek",1
"wichita river",1
"willow beach lake",1
"wilson creek",1
"winans creek",1
"wolf lake",1
"woods creek",1
"woods hole",1
"worm creek",1
"yadkin-peedee river drainage",1
"yamaska river",1
"yellowleaf creek",1
"yellowstone lake",1
"zocktown creek",1
"~12 miles sse of tuticotin",1
