"Typestatus","Count"
"syntype of <a href=""http://arctos.database.museum/name/leucichthys cyanopterus"">leucichthys cyanopterus</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",3
"holotype of <a href=""http://arctos.database.museum/name/etheostoma zonale"">etheostoma zonale</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"paralectotype of <a href=""http://arctos.database.museum/name/percina crassa roanoka"">percina crassa roanoka</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>; paralectotype of <a href=""http://arctos.database.museum/name/percina roanoka"">percina roanoka</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>; paralectotype of <a href=""http://arctos.database.museum/name/percina roanoka"">percina roanoka</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"paratopotype of <a href=""http://arctos.database.museum/name/cottus baileyi"">cottus baileyi</a>, page 312 in <a href=""http://arctos.database.museum/publication/10006907"">robins 1961</a>",2
"paratopotype of petrocephalus arnegardi, page 41 in <a href=""http://arctos.database.museum/publication/10006822"">lavoué & sullivan 2014</a>",2
"paratype of <a href=""http://arctos.database.museum/name/amphilius caudosignatus"">amphilius caudosignatus</a>, page 48 in <a href=""http://arctos.database.museum/publication/10006810"">skelton 2007</a>",2
"paratype of <a href=""http://arctos.database.museum/name/atopodontus adriaensi"">atopodontus adriaensi</a>, page 16 in <a href=""http://arctos.database.museum/publication/10006796"">friel and vigliotta 2008</a>",2
"paratype of <a href=""http://arctos.database.museum/name/bembrops quadrisella"">bembrops quadrisella</a>, page 976 in <a href=""http://arctos.database.museum/publication/10006813"">thompson & suttkus 1998</a>",2
"paratype of <a href=""http://arctos.database.museum/name/brachyhypopomus walteri"">brachyhypopomus walteri</a>, page 8 in <a href=""http://arctos.database.museum/publication/10006775"">sullivan et al. 2013</a>",2
"paratype of <a href=""http://arctos.database.museum/name/chiloglanis orthodontus"">chiloglanis orthodontus</a>, page 13 in <a href=""http://arctos.database.museum/publication/10006805"">friel and vigliotta 2011</a>",2
"paratype of <a href=""http://arctos.database.museum/name/cottus hypselurus"">cottus hypselurus</a>, page 370 in <a href=""http://arctos.database.museum/publication/10006909"">robins and robison 1985</a>",2
"paratype of <a href=""http://arctos.database.museum/name/doumea gracila"">doumea gracila</a>, page 60 in <a href=""http://arctos.database.museum/publication/10006810"">skelton 2007</a>",2
"paratype of <a href=""http://arctos.database.museum/name/enneacanthus chaetodon"">enneacanthus chaetodon</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"paratype of <a href=""http://arctos.database.museum/name/entomacrodus cadenati"">entomacrodus cadenati</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"paratype of <a href=""http://arctos.database.museum/name/etheostoma bellum"">etheostoma bellum</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
