"Waterbody","Count"
"igarape do meritysal",6
"karluk r.",6
"kathleen mill creek",6
"kerame river",6
"kribi river",6
"laccadive sea",6
"laguna beach",6
"lake bombon",6
"lake muskoka",6
"lake patzcuaro",6
"lake sutherland",6
"laoag river",6
"lemon bay",6
"lingayan gulf",6
"little sur r.",6
"lokunje r. system; bikui r.",6
"lokunje river",6
"lokunje river system; bikui river",6
"magat r.",6
"malheur river",6
"middle fork american r.",6
"miramontes beach (moss beach)",6
"mission bay",6
"mississippi r. system; south fork of holston r.",6
"mud cr.",6
"muskingum river",6
"neches river",6
"niangua river",6
"nkrumah stream",6
"north sea",6
"ntem or campo r. basin; mfiande or seng rivers",6
"nushagak r.",6
"ohio r.",6
"outer santa barbara channel",6
"owen's river",6
"pike lake",6
"pra r.",6
"r. amazonas basin; igarape uruara",6
"r. amazonas basin; lago jara",6
"r. cucahaque",6
"r. el pilar",6
"r. guarico",6
"r. losguayos",6
"r. melones",6
"r. monay",6
"r. noguera",6
"r. tapajos",6
"r. torito",6
"r. trombetas",6
"rio balsas basin; rio ixtla",6
"rio portogandi",6
"rio suchate",6
"ross lake",6
"round lick creek",6
"santa ynez r.",6
"scott creek",6
"shana bay",6
"shore tidepool",6
"sibugal river",6
"sinu r.",6
"streams",6
"suwa ko",6
"swannanoa river",6
"tagaloan r.",6
"tomales bay",6
"trenches",6
"tuggerah lakes",6
"uvas creek",6
"waddell cr.",6
"weber r.",6
"white oak creek",6
"white r.",6
"zaliv aniva",6
"apeni stream",5
"arun r. drainage",5
"ayensu r.",5
"bahia ballenas",5
"bahia magdalene",5
"balung r.",5
"benas r.",5
"bikui river (lokunje r. sys.)",5
"bivuse r.",5
"biwa ko (lake biwa)",5
"black warrior r.",5
"bocochibampo bay",5
"branches of magat river",5
"bukit merah reservoir",5
"carmel river",5
"cayuga lake & fall creek",5
"chesapeake bay",5
"chicken creek",5
"columbia r. basin; little wood r.",5
"columbia r. basin; payette r.",5
"columbia r. estuary",5
"comal creek",5
"crescent lake",5
"davao gulf",5
"departure bay",5
"des moines river",5
"disko bay",5
"drainage: carson r.",5
"drainage: neuse river",5
"drainage: truckee r./pyramid lake",5
"eboje r.",5
"essequibo r. basin; upper potaro r.",5
"eureka springs",5
"fautama brook",5
"flores r.",5
"fung hwa r.",5
"ganges r. drainage; trusuli r.",5
"ganges r. system; ganges r.",5
"gasigasi r.",5
"gingoog bay",5
"golfo de fonseca",5
"grande ronde r.",5
"green lake",5
"gum-gum r.",5
"gunong pulai",5
"high tide pool",5
"john's river",5
"kern r.",5
"koro sea?",5
"l. titicaca",5
"lake buhi",5
"lake crescent",5
"lawson's bay",5
"little escambia river",5
"lobe r.",5
"lobi r.",5
"magat river",5
"magdalena r. basin; pozo del chorro",5
"mangutu river",5
"matsushima bay",5
"mayoruna r.",5
"megna r.",5
"menya'a river",5
"mississippi r. drainage",5
"mole river",5
"mountain fork river",5
"muar r.",5
"n. powder river",5
"new river",5
"newport bay",5
"nsaki river",5
"ntem river system; mboto river",5
"ntem river system; mvila river",5
"ntem river system; nye river",5
"nushagak river",5
"nyang riv. system; melombo river",5
"nyong riv. system; mumu'u river",5
"otter creek",5
"outer santa barbara passage",5
"pacollet r.",5
"persian gulf",5
"pescadero creek",5
"prince william sound",5
"q. san jaime",5
"r. amazonas basin; lower r. amazonas",5
"r. amazonas basin; r. pichis",5
"r. amazonas basin; r. solimoes",5
"r. aragua",5
"r. atrato basin",5
"r. demerara basin; demarara r.",5
"r. guigue",5
"r. pacora",5
"r. panuco basin; r. panuco & tamesoe",5
"r. polatado",5
"r. san juan",5
"r. santiago basin?; r. penuela",5
"r. timis",5
"r. urama",5
"r. verde",5
"raccoon creek",5
"rio almendares drainage; rio almendares",5
"rio de las balsas basin; rio ixtla",5
"rio de papaloapam",5
"rio orinoco basin",5
"rio panuco basin",5
"river seine",5
"riviere jean de bas",5
"rock cr.",5
"ruki r.",5
"russian r. basin",5
"russian river",5
"sacramento river",5
"sadong river",5
"sagami sea (nada)",5
"salmon river",5
"salton sea",5
"san juan bay",5
"san nicolas creek",5
"san simeon cr.",5
"sandakan bay drainage",5
"santa inez river",5
"santa isabel cr.",5
"sepik basin; sepik river",5
"shansho cano",5
"shoal creek",5
"sim's bayou",5
"sisitna r. basin",5
"sobun r.",5
"south fork american r.",5
"south platte r.",5
"st. mary's river",5
"strait of magellan",5
"subic bay",5
"suruga gulf",5
"tahkenitch cr.",5
"tano river basin ?",5
"ten mile r.",5
"tenas lake",5
"tozen r.",5
"upper sinu r.",5
"usal cr.",5
"vaisigano river",5
"wallowa lake",5
"white r. basin; salt creek",5
"yaqui river",5
"yukon r. drainage",5
"yung river",5
"amekaud r.",4
"apetornui cr.",4
"arroyo seco creek",4
"avalon bay",4
"avu lagoon",4
"bahia san juanico",4
"bay r.",4
"beaver cr.",4
"bivuse river",4
"black volta",4
"black volta r.",4
"boumba ii r.",4
"casambalangan river",4
"casas r.",4
"cascade creek",4
"chikugo river",4
"clear pond",4
"clover creek",4
"colorado r. basin",4
"columbia r. system; kicking horse r.",4
"coos bay",4
"copper r. basin; mendaltna cr.",4
"culebra creek",4
"deer creek",4
"demerara r. basin; demerara r.",4
"drainage: lost river",4
"drainage: nyong river",4
"drainage: reese r.; lower reese r.",4
"drainage: sacramento; american r.",4
"drainage: san joaquin r.",4
"drainage: santee river",4
"drainage: truckee river; pyramid lake",4
"eagle river",4
"ebi stream",4
"elk creek",4
"escambia r.",4
"esmeraldas r. basin; r. toachi",4
"ewiafutu stream",4
"fall creek",4
"fresh water streams",4
"gardner bay",4
"greenfield lake",4
"gulf st. vincent",4
"gull lake",4
"hipolito bay",4
"hunter r.",4
"hunter's creek",4
"ikroavik lake",4
"ishikari wan",4
"ja r. system; momjepom r.",4
"jhelum river",4
"kachek r.",4
"karluk river",4
"kern river",4
"klamath estuary",4
"kribi r. basin; chenge (kribi) r.",4
"kribi r. basin; chenge r.",4
"kribi r. basin; kribi r.",4
"kribi r. system; kribi r.",4
"kumano-nada",4
"l. atitlan",4
"laguna de los pavones",4
"lagunita (lake?)",4
"lake biwa",4
"lake chin",4
"lake lagunita",4
"lake tanganyika",4
"lake teshekpuk",4
"little piney river",4
"little spokane river",4
"lizard creek",4
"lobi r. system; mbang",4
"los gatos creek",4
"lower r. reventazon",4
"madison r.",4
"manigari river",4
"mediterranean sea",4
"menam chao phya",4
"meng r. system; tibati lake",4
"misaki bay",4
"misaki sea",4
"mississippi r. basin; mississippi r.",4
"mississippi r. basin; nest lake",4
"missouri river",4
"morro bay",4
"mvila r. system; menyoo r.",4
"myatt creek",4
"napa creek",4
"nestucca r.",4
"north biloxi bay",4
"north r.",4
"ntem or campo r. systems; mfiande and seng rivers",4
"ntem or campo r. systems; mfiande or seng rivers",4
"ntem or combo r. system; mfiande & seng rivers",4
"ntem r. system; nlobo r.",4
"ntem r. system; nyafeme r.",4
"nyong r. system",4
"octavia bay",4
"okoi river",4
"orinoco r. basin; rios duda & losada",4
"pacollet river",4
"piedra blanca bay",4
"pool",4
"port arthur",4
"r. almendares",4
"r. amazonas basin; lago grande (do villa franco)",4
"r. amazonas basin; lago jara (=l. tana?)",4
"r. amazonas basin; lagoa grande",4
"r. amazonas basin; rio madeira",4
"r. canas",4
"r. elota",4
"r. grande de santiago",4
"r. guayas",4
"r. guayas basin; r. daule",4
"r. ostuta",4
"r. piaxtla",4
"r. santa rosa",4
"r. tocantins basin; lagoa (barra fazenda)",4
"r. yuruci",4
"rainy lake",4
"red river of the north",4
"red rock river",4
"rio casas grandes",4
"rio colorado",4
"rio conejos",4
"rio de san marcos",4
"rio lampasas",4
"rio maullin basin",4
"rio sauz",4
"rio tesochocan",4
"rio verde basin; rio verde",4
"river battor",4
"roanoke r. basin; roanoke r.",4
"russian r.",4
"sabi & lundi rivers",4
"salinas r.",4
"salmon r.",4
"san antonio river",4
"san francisquito cr.",4
"san juan creek",4
"san luis obispo creek",4
"san pablo creek",4
"san simeon bay",4
"sanaga r. system; vina r.",4
"sand creek",4
"sanga r.",4
"santee r. basin; saluda r.",4
"sea of cortes",4
"sepik river",4
"shenandoah river",4
"shunganunga creek",4
"sibuku bay",4
"small creek",4
"smith's creek",4
"spring river",4
"st. joseph river",4
"st. lawrence basin; lake superior",4
"stanley pool ?",4
"stone's river",4
"straits of florida",4
"strang cr.",4
"subine river",4
"sultan shoal",4
"sun kosi r.",4
"sun kosi river",4
"susitna r. basin; alexander cr.",4
"table bay",4
"tahoe/truckee r. basin; fallen leaf creek",4
"tar river",4
"tidepool",4
"truckee r.",4
"truckee river",4
"tsugaru strait/sea of japan",4
"turner's pond",4
"van duzen r.",4
"walker r.",4
"williamette river",4
"wreck bay",4
"yezo strait",4
"yodo r.",4
"yodo river",4
"aby lagoon",3
"alamo creek",3
"albemarle sound",3
"anchorage bay",3
"astlillero (=estuary)",3
"asuncion bay",3
"avatcha bay",3
"bahia de banderas",3
"bahia matenchen",3
"balincaguing river",3
"banay river",3
"barras river",3
"bear r. basin; logan r.",3
"big kanawha river",3
"big lake",3
"bikui (lokuinje) r.",3
"binhchang bay (n. shore)",3
"blanchard river",3
"boca de san francisco",3
"bolinas bay",3
"brooks r.",3
"burnett r.",3
"burney creek",3
"butano cr.",3
"caicos passage",3
"canal do cacao-vermelho",3
"canals",3
"catumbela river",3
"cauvery river",3
"chandler r.",3
"chilka lake",3
"chocolo creek",3
"choso r.",3
"colville r.",3
"colville river",3
"cook's r.",3
"cook's river",3
"coos river",3
"copper r. basin; mankoman lake",3
"copper r. basin; montasta lake",3
"copper r. basin; sinona cr.",3
"copper r. basin; summit lake",3
"corona del mar",3
"cottonwood creek",3
"credit river",3
"crow creek",3
"daito river",3
"deer lake",3
"dendo dam",3
"derr cr.",3
"devil's lake",3
"dickinson bayou",3
"dickinson lake",3
"drainage: bight of biafra; bight of biafra",3
"drainage: bight of biafra; kribi river",3
"drainage: cape fear river",3
"drainage: lokunje r. sys.; bikui river",3
"drainage: moruka river; manuwarin river",3
"drainage: ntem or campo r. systs.; mfiande & seng rivers",3
"drainage: r. grande de sanitago; laguna de chapala",3
"drainage: r. maranhao",3
"drainage: rio grande de santiago; rio de lerma",3
"drainage: rio panuco; rio valles tributary",3
"drainage: sacramento",3
"drainage: tsien tang (=fu-ch'um); upper tsien tang r.",3
"eagle creek",3
"east china sea",3
"eastern sea",3
"elkhorn river",3
"escambia river",3
"essequibo r. basin; creek",3
"essequibo r. basin; erukin creek",3
"essequibo r. basin; lower potaro river",3
"essequibo r. basin; r. rupununi",3
"essequibo r. basin; r. yuruari",3
"feather r.",3
"flat rock creek",3
"flathead lake",3
"freshwater stream",3
"ganges drainage",3
"gold coast, gulf of guinea",3
"guadalupe r.",3
"guadalupe river",3
"gulf of catalina",3
"gulf of chiriqui",3
"gulf of davao",3
"gulf of tomini",3
"gum-gum river",3
"harrison r.",3
"heart lake",3
"holston river",3
"humboldt river",3
"indian r.",3
"ishikari r.",3
"james r. system",3
"john's creek",3
"karluk passage",3
"kern r. basin; kern r.",3
"kettle river",3
"kichi r.",3
"kinabutan river",3
"klamath basin; grider creek",3
"klamath basin; indian cr.",3
"klamath r. basin; turwar cr.",3
"klamath r. basin; upper klamath lake",3
"lago jara",3
"laguna creek",3
"lahad datu river",3
"lake akan-ko",3
"lake mainit",3
"lake tondano",3
"lake tulare",3
"lidell creek",3
"little lake george",3
"little sioux river",3
"lobe r. basin; lingi r.",3
"lobe r. system; lingi r.",3
"lobe river",3
"long tom creek",3
"loo river",3
"mad r. basin; mad r.",3
"mahaica cr. basin; maduni creek",3
"mangrove bay",3
"mangutu r.",3
"mapat river",3
"maroubra bay",3
"melpomene bay",3
"middle harbour",3
"mississippi r. system",3
"mississippi river",3
"mississippi river system; lower twin lakes",3
"moreton bay?",3
"moses lake",3
"mpela river",3
"neah bay",3
"nehalem r.",3
"neosho river",3
"neuse r. basin; neuse r.",3
"nile r.",3
"nile river",3
"nlobo river",3
"north polls creek",3
"ntem or cambo r. system; mfiande or seng rivers",3
"ntem river system; mfiande river",3
"ntem river system; ntem river",3
"nyong riv. system; fala river",3
"obey's river",3
"obion river",3
"ofin r.",3
"orinoco r. basin; r. meta",3
"pajaro creek",3
"pansipit river drainage; lake bombon (=lake taal)",3
"papetoai bay",3
"pasig river",3
"pearl river",3
"pechelin drainage; pechelin",3
"pelican lake",3
"pit river",3
"pond creek",3
"prairie creek",3
"prosser cr.",3
"quebrada homo",3
"r. alpargaton",3
"r. amazonas basin; lago marica",3
"r. amazonas basin; lago sanango",3
"r. amazonas basin; pevas cano",3
"r. amazonas basin; rio mayoruna",3
"r. apon",3
"r. araguaya",3
"r. artibonite drainage; boucan cani",3
"r. atrato basin; r. quito into rio atrato",3
"r. balao",3
"r. churuguara",3
"r. curipe",3
"r. de la plata basin",3
"r. de la terra",3
"r. esmeraldas basin",3
"r. essequibo basin?; rupununi pan",3
"r. guaiquaza",3
"r. guayas drainage; r. vinces",3
"r. guirocoba",3
"r. huallaga",3
"r. iguacu",3
"r. magdalena",3
"r. palacios",3
"r. sabanalamar",3
"r. san juan basin ; upper rio san juan",3
"r. santa ines",3
"r. solimoes basin; r. javari",3
"r. tocantins",3
"r. yaqui",3
"raspberry strait",3
"rattlesnake creek",3
"red river",3
"renard sound",3
"rio calle calle basin; rio calle calle",3
"rio comal",3
"rio conchos",3
"rio obispo",3
"rio panuco basin; rios panuco/tamesoe & lagoons",3
"rio papaloapan basin; rio papaloapan",3
"rio paraguay",3
"rio pecos",3
"rio santiago basin; rio verde de aguascalientes",3
"rio tesechocan",3
"rio yautepec",3
"river tahan",3
"rocky bluff bay",3
"s. platte river",3
"sagami sea",3
"salinas river drainage; salinas river",3
"san antonio springs",3
"san nicolas bay",3
"sanaga r. system",3
"santa ana river",3
"santa cruz river",3
"santa inez bay",3
"sea of japan?",3
"sepik r.",3
"shasta river",3
"siletz r.",3
"sinepuxent bay",3
"singapore harbor",3
"smith r. basin; rowdy cr.",3
"sonoyta river",3
"soquel creek",3
"south china sea?",3
"south fork yuba r.",3
"spencer gulf",3
"st. francis river",3
"st. john's river",3
"stone river",3
"suruga bay",3
"susitna r. basin; alexander lake",3
"susitna r. basin; lake chelatna",3
"susitna r. basin; lake judd",3
"swamp",3
"tampa bay",3
"tano r. drainage",3
