"Waterbody","Count"
"gualala r.",10
"igarape do mai joana",10
"independence lake",10
"lake merced",10
"lake michigan",10
"lake ontario",10
"lake tanganyika",10
"mississippi r. drainage; south platte r.",10
"pagapas bay",10
"panama bay",10
"prince william sound",10
"quebrada guadual",10
"r. amazonas basin; rio negro",10
"r. del pinar",10
"r. magdalena basin ; rio paila into rio cauca",10
"r. orinoco",10
"r. paraguay",10
"r. trombetas",10
"ramu r. drainage; ramu r.",10
"red r. basin",10
"rio bio bio basin",10
"rocky tidepools",10
"san luis obispo bay",10
"sao francisco r.basin ; rio sao francisco",10
"shepard creek",10
"stillwater cove",10
"turtle bay",10
"volta r. basin",10
"w chukchi sea",10
"agua micondo",9
"alameda cr.",9
"arafura sea",9
"calaveras r.",9
"cano del chancho",9
"chesapeake bay",9
"cumberland river",9
"delaware r.",9
"drainage: boroi river",9
"drainage: coyote creek",9
"drainage: hudson river",9
"drainage: leste",9
"drainage: new river",9
"drainage: tahoe",9
"drainage: yangtze r.",9
"escambia river",9
"gold mohur bay",9
"golfo de san miguel",9
"humboldt bay",9
"ioworo r. basin",9
"kachemak bay",9
"lago izabal",9
"lagunita lake",9
"lake maxinkuckee",9
"lake nasser",9
"napa river",9
"persian gulf",9
"philippine sea",9
"r. amazonas basin; r. huallaga",9
"r. amazonas basin; rio ucayali",9
"r. magdalena basin ; bernal creek",9
"r. morona",9
"r. motilones",9
"r. tocantins",9
"red r. basin; assiniboine r.",9
"rio caura basin",9
"rio doce",9
"rio magdalena",9
"rio motagua basin; rio tenedores",9
"rio petrohue basin; lago todos santos",9
"sacramento basin; clear lake",9
"san joaquin r. basin; old r.",9
"songkhla lake basin",9
"taiohae bay",9
"tidepools",9
"w beaufort sea",9
"wilson cr.",9
"yukon r. basin; yukon delta",9
"bahia de san felipe",8
"bang pa kong basin",8
"big lagoon",8
"capell creek",8
"columbia r. basin",8
"coyote cr.",8
"coyote r.",8
"drainage: bear r.",8
"drainage: colorado",8
