"dwc.preparations","freq"
"349 in 70% EtOH",1
"35 in 70% EtOH; 5 in C&S",1
"35 in 70% EtOH; 8 in 95% EtOH",1
"353 in 70% EtOH",1
"354 in 70% EtOH; 7 in 95% EtOH",1
"355 in 70% EtOH",1
"356 in 70% EtOH",1
"36 in 70% EtOH; 5 in 95% EtOH",1
"360 in 70% EtOH",1
"365 in 70% EtOH",1
"367 in 70% EtOH",1
"37 in 70% EtOH; 2 in C&S",1
"370 in 70% EtOH",1
"374 in 70% EtOH",1
"376 in 70% EtOH",1
"377 in 70% EtOH",1
"381 in 70% EtOH",1
"382 in 70% EtOH",1
"388 in 70% EtOH",1
"391 in 70% EtOH",1
"398 in 70% EtOH",1
"4 in 70% EtOH; 3 in 95% EtOH",1
"40 in 70% EtOH; 1 in 95% EtOH",1
"406 in 70% EtOH",1
"408 in 70% EtOH",1
"41 in 70% EtOH; 1 in 95% EtOH",1
"41 in 70% EtOH; 5 in C&S",1
"412 in 70% EtOH",1
"414 in 70% EtOH",1
"415 in 70% EtOH",1
"421 in 70% EtOH",1
"422 in 70% EtOH",1
"425 in 70% EtOH",1
"428 in 70% EtOH",1
"43 in 70% EtOH; 1 in 95% EtOH",1
"43 in 70% EtOH; 4 in C&S",1
"43 in 70% EtOH; 9 in 95% EtOH",1
"430 in 70% EtOH",1
"440 in 70% EtOH",1
"441 in 70% EtOH",1
"442 in 70% EtOH",1
"446 in 70% EtOH",1
"447 in 70% EtOH",1
"448 in 70% EtOH",1
"449 in 70% EtOH",1
"451 in 70% EtOH",1
"452 in 70% EtOH",1
"453 in 70% EtOH",1
"47 in 70% EtOH; 1 in 95% EtOH",1
"472 in 70% EtOH",1
"477 in 70% EtOH",1
"48 in 70% EtOH; 1 in 95% EtOH",1
"486 in 70% EtOH",1
"49 in 70% EtOH; 4 in 95% EtOH",1
"491 in 70% EtOH",1
"493 in 70% EtOH",1
"497 in 70% EtOH",1
"499 in 70% EtOH",1
"5 in 70% EtOH; 1 in skeleton; 1 in C&S",1
"5 in 70% EtOH; 17 in 95% EtOH",1
"5 in 70% EtOH; 2 in 95% EtOH",1
"5 in 70% EtOH; 2 in skeleton; 2 in C&S",1
"5 in 70% EtOH; 3 in C&S",1
"5 in 70% EtOH; 4 in 95% EtOH",1
"5 in 70% EtOH; 6 in 95% EtOH",1
"50 in 70% EtOH; 4 in 95% EtOH",1
"502 in 70% EtOH",1
"507 in 70% EtOH",1
"51 in 70% EtOH; 2 in C&S",1
"510 in 70% EtOH",1
"513 in 70% EtOH",1
"52 in 70% EtOH; 5 in 95% EtOH",1
"53 in 70% EtOH; 2 in C&S",1
"536 in 70% EtOH",1
"55 in 70% EtOH; 1 in 95% EtOH",1
"55 in 70% EtOH; 10 in 95% EtOH",1
"55 in 70% EtOH; 2 in C&S",1
"552 in 70% EtOH",1
"562 in 70% EtOH",1
"565 in 70% EtOH",1
"571 in 70% EtOH",1
"58 in 70% EtOH; 24 in 95% EtOH",1
"58 in 70% EtOH; 8 in 95% EtOH",1
"585 in 70% EtOH",1
"590 in 70% EtOH",1
"6 in 70% EtOH; 2 in 95% EtOH",1
"6 in 70% EtOH; 3 in 95% EtOH",1
"6 in 70% EtOH; 4 in C&S",1
"6 in 95% EtOH",1
"6 in C&S",1
"61 in 70% EtOH; 10 in C&S",1
"617 in 70% EtOH",1
"624 in 70% EtOH",1
"63 in 70% EtOH; 5 in C&S",1
"64 in 70% EtOH; 10 in C&S",1
"643 in 70% EtOH",1
"65 in 70% EtOH; 6 in C&S",1
"650 in 70% EtOH",1
"658 in 70% EtOH",1
"675 in 70% EtOH",1
"68 in 70% EtOH; 10 in C&S",1
"69 in 70% EtOH; 2 in 95% EtOH; 2 in C&S",1
"7 in 95% EtOH",1
"7 in C&S",1
"700 in 70% EtOH",1
"702 in 70% EtOH",1
"71 in 70% EtOH; 2 in C&S",1
"72 in 70% EtOH; 2 in C&S",1
"727 in 70% EtOH",1
"74 in 70% EtOH; 1 in 95% EtOH",1
