"dwc.preparations","freq"
"EtOH - 378",4
"EtOH - 383",4
"EtOH - 384",4
"EtOH - 386",4
"EtOH - 387",4
"EtOH - 39; C&S - 4",4
"EtOH - 39; C&S - 5",4
"EtOH - 403",4
"EtOH - 41; C&S - 3",4
"EtOH - 411",4
"EtOH - 415",4
"EtOH - 416",4
"EtOH - 421",4
"EtOH - 434",4
"EtOH - 44; C&S - 2",4
"EtOH - 445",4
"EtOH - 450",4
"EtOH - 453",4
"EtOH - 49; C&S - 2",4
"EtOH - 496",4
"EtOH - 5; skeleton - 3",4
"EtOH - 51; C&S - 2",4
"EtOH - 514",4
"EtOH - 52; C&S - 1",4
"EtOH - 522",4
"EtOH - 54; C&S - 1",4
"EtOH - 54; C&S - 2",4
"EtOH - 561",4
"EtOH - 57; C&S - 2",4
"EtOH - 580",4
"EtOH - 60; C&S - 2",4
"EtOH - 60; C&S - 3",4
"EtOH - 625",4
"EtOH - 74; C&S - 1",4
"skeleton - 14",4
"skeleton - 2; C&S - 2",4
"C&S - 13",3
"C&S - 8",3
"EtOH - 1; skeleton - 5",3
"EtOH - 102; C&S - 2",3
"EtOH - 105; C&S - 2",3
"EtOH - 109; C&S - 1",3
"EtOH - 11; skeleton - 3",3
"EtOH - 1128",3
"EtOH - 117; C&S - 3",3
"EtOH - 121; C&S - 3",3
"EtOH - 13; C&S - 4",3
"EtOH - 16; C&S - 5",3
"EtOH - 163; C&S - 5",3
"EtOH - 17; C&S - 4",3
"EtOH - 18; C&S - 3",3
"EtOH - 18; C&S - 4",3
"EtOH - 18; C&S - 5",3
"EtOH - 19; skeleton - 1",3
"EtOH - 20; C&S - 3",3
"EtOH - 20; C&S - 4",3
"EtOH - 20; skeleton - 10",3
"EtOH - 21; skeleton - 1",3
"EtOH - 21; skeleton - 2",3
"EtOH - 22; C&S - 3",3
"EtOH - 24; C&S - 3",3
"EtOH - 25; C&S - 1",3
"EtOH - 26; C&S - 4",3
"EtOH - 26; C&S - 5",3
"EtOH - 26; C&S - 6",3
"EtOH - 27; skeleton - 2",3
"EtOH - 27; skeleton - 4",3
"EtOH - 29; C&S - 3",3
"EtOH - 3; skeleton - 3",3
"EtOH - 30; C&S - 3",3
"EtOH - 30; C&S - 5",3
"EtOH - 309",3
"EtOH - 31; C&S - 3",3
"EtOH - 31; C&S - 4",3
"EtOH - 31; C&S - 5",3
"EtOH - 314",3
"EtOH - 32; C&S - 3",3
"EtOH - 322",3
"EtOH - 324",3
"EtOH - 327",3
"EtOH - 34; C&S - 3",3
"EtOH - 34; C&S - 5",3
"EtOH - 340",3
"EtOH - 35; C&S - 2",3
"EtOH - 35; C&S - 4",3
"EtOH - 35; C&S - 5",3
"EtOH - 35; skeleton - 1",3
"EtOH - 36; C&S - 1",3
"EtOH - 36; C&S - 3",3
"EtOH - 367",3
"EtOH - 368",3
"EtOH - 37; C&S - 4",3
