"Typestatus","Count"
"syntype of catonotus fasciatus",3
"syntype of chaetobranchus orbicularis",3
"syntype of chlorophthalmus mento",3
"syntype of chonophorus bucculentus",3
"syntype of corydoras elegans| paralectotype of corydoras elegans",3
"syntype of cottunculus torvus",3
"syntype of curimatus plumbeus| paralectotype of curimatus plumbeus",3
"syntype of curimatus simulatus| paralectotype of curimatus simulatus",3
"syntype of cyprinodon elegans",3
"syntype of dactylostomias filifer",3
"syntype of disceus thayeri",3
"syntype of echeneis tetrapturorum",3
"syntype of eretmichthys pinnatus",3
"syntype of gila gibbosa",3
"syntype of girardinus denticulatus",3
"syntype of girardinus uninotatus",3
"syntype of gobius garmani",3
"syntype of hybognathus nuchalis| paralectotype of hybognathus nuchalis",3
"syntype of hybopsis dorsalis",3
"syntype of johnius batabanus| syntype of johnius batabanus",3
"syntype of laemonema barbatula",3
"syntype of loricaria teffeana| paralectotype of loricaria teffeana",3
"syntype of macrurus canus",3
"syntype of macrurus latirostratus",3
"syntype of macrurus tenuicauda",3
"syntype of maurolicus lucetius",3
"syntype of microperca punctulata",3
"syntype of moenkhausia jamesi| figured of moenkhausia jamesi",3
"syntype of ophichthys (cryptopterus) frontalis| voucher of ophichthys (cryptopterus) frontalis",3
"syntype of peristedium crustosum",3
"syntype of plecostomus luetkeni| paralectotype of plecostomus luetkeni",3
"syntype of porogadus atripectus",3
"syntype of pristipoma panamense",3
"syntype of scarus distinctus| syntype of scarus distinctus",3
"syntype of scarus lateralis",3
"syntype of serranus falcatus| syntype of serranus falcatus",3
"syntype of trachinotus kennedyi",3
"syntype of umbrina panamensis",3
"syntype of urobatis sloani vermiculatus",3
"syntype of venefica tentaculata",3
"syntype of zygonectes nottii",3
"voucher of alepocephalus agassizii",3
"voucher of alionematichthys piger",3
"voucher of anguilla vulgaris",3
"voucher of anthias multifasciatus",3
"voucher of apristurus manis",3
"voucher of argyropelecus aculeatus",3
"voucher of argyropelecus sladeni",3
"voucher of aristostomias",3
"voucher of astronesthes gudrunae",3
"voucher of baldwinella vivianus",3
"voucher of brachyhypopomus beebei",3
"voucher of centropomus appendiculatus| syntype of centropomus appendiculatus| syntype of centropomus appendiculatus",3
"voucher of chiasmodon niger",3
"voucher of coilia grayi",3
"voucher of creagrutus affinis",3
"voucher of diaphus effulgens",3
"voucher of diaphus fragilis",3
"voucher of diaphus rafinesquii",3
"voucher of diaphus thiollierei",3
"voucher of eustomias schiffi",3
"voucher of eutropiichthys vacha",3
"voucher of fluviphylax pygmaeus",3
"voucher of gigantura chuni",3
"voucher of gonichthys cocco",3
"voucher of gymnocorymbus thayeri",3
"voucher of gymnothorax miliaris",3
"voucher of halobatrachus didactylus| voucher of halobatrachus didactylus",3
"voucher of hygophum hygomii",3
"voucher of hypoplectrus gemma",3
"voucher of hyporhamphus quoyi",3
"voucher of hyporhamphus unifasciatus",3
"voucher of kali kerberti",3
"voucher of kali macrodon",3
"voucher of kali parri",3
"voucher of lampadena speculigera",3
"voucher of lamprologus tigripictilis",3
"voucher of lepomis microlophus",3
"voucher of liparis inquilinus",3
"voucher of lophiodes reticulatus",3
"voucher of mustelus norrisi",3
"voucher of nandopsis haitiensis",3
"voucher of nectamia fusca",3
"voucher of nectamia luxuria",3
"voucher of neonesthes capensis",3
"voucher of ophichthus remiger",3
"voucher of ophidion grayi",3
"voucher of oxyurichthys auchenolepis",3
"voucher of percina copelandi",3
"voucher of poecilia gilli",3
"voucher of pseudoplatystoma punctifer",3
"voucher of setipinna taty",3
"voucher of silurus glanis",3
"voucher of stomias boa boa",3
"voucher of stomias brevibarbatus",3
"voucher of trachelyopterus taeniatus",3
"voucher of tridentopsis pearsoni",3
"additional material of anarhichas vomerinus",2
"additional material of breviraja ishiyamai",2
"additional material of callanthias platei",2
"additional material of cociella crocodilus",2
"additional material of polyipnus clarus| voucher of polyipnus clarus",2
"additional material of pseudoscopelus aphos",2
"additional material of sternarchorhynchus goeldii",2
"additional material of symphurus oligomerus",2
"figured of acipenser brevirostrum",2
"figured of beryx splendens",2
"figured of chlamydoselachus anguineus",2
"figured of coryphaenoides carapinus",2
"figured of dasybatus marinus",2
"figured of diaphus aliciae",2
"figured of diaphus arabicus",2
"figured of diaphus brachycephalus",2
"figured of diaphus malayanus",2
"figured of diaphus mollis",2
"figured of diaphus problematicus",2
"figured of diaphus taaningi",2
"figured of eustomias",2
"figured of gephyrocharax valencia",2
"figured of manducus maderensis",2
"figured of myliobatis freminvillii",2
"figured of narke japonica",2
"figured of nezumia",2
"figured of odontomacrurus murrayi",2
"figured of phractocephalus hemioliopterus",2
"figured of protopterus annectens",2
"figured of rhinobatos percellens",2
"figured of rypticus bistrispinus",2
"figured of rypticus nigripinnis",2
"figured of sternarchorhynchus goeldii",2
"figured of sternopygus arenatus",2
"figured of taeniura lymma",2
"genetic voucher of apristurus profundorum",2
"holotype of acipenser (huso) kennicottii",2
"holotype of conger esculentus",2
"holotype of engraulis perfasciatus",2
"holotype of pomacentrus analis",2
"paralectotype of cliola urostigma",2
"paralectotype of corydoras elegans| syntype of corydoras elegans",2
"paralectotype of curimatus bimaculatus sialis| syntype of curimatus bimaculatus sialis",2
"paralectotype of curimatus falcatus| syntype of curimatus falcatus",2
"paralectotype of curimatus spiluropsis",2
"paralectotype of cyprinodon latifasciatus",2
"paralectotype of dibranchichthys nudivomer| syntype of dibranchichthys nudivomer",2
"paralectotype of dibranchus hystrix| syntype of dibranchus hystrix",2
"paralectotype of gambusia puncticulata| syntype of gambusia puncticulata| paralectotype of gambusia puncticulata",2
"paralectotype of hadropterus notogrammus| paralectotype of hadropterus maculatus",2
"paralectotype of harttia loricariformis| syntype of harttia loricariformis",2
"paralectotype of macrurus boops",2
"paralectotype of minomus platyrhynchus| syntype of minomus platyrhynchus",2
"paralectotype of myctophum nannochir",2
"paralectotype of nemichthys fronto| syntype of nemichthys fronto",2
"paralectotype of oligocephalus humeralis",2
"paralectotype of pholis schultzi",2
"paralectotype of pleurolepis pellucidus| syntype of pleurolepis pellucidus",2
"paralectotype of poecilia amazonica| syntype of poecilia amazonica",2
"paralectotype of pterolebias longipinnis| syntype of pterolebias longipinnis",2
"paralectotype of raja garmani| syntype of raja ackleyi ornata",2
"paralectotype of rivulus atratus| syntype of rivulus atratus",2
"paralectotype of rivulus ornatus| syntype of rivulus ornatus",2
"paralectotype of triglops beani",2
"paralectotype of triglops scepticus",2
"paralectotype of xiphidion mucosum",2
"paratype (ms) of careproctus",2
"paratype (ms) of virilia",2
"paratype of acestrocephalus boehlkei",2
"paratype of adontosternarchus clarkae",2
"paratype of aldrovandia gracilis| paralectotype of aldrovandia gracilis",2
"paratype of amarsipus carlsbergi",2
"paratype of amplova jamesi",2
"paratype of ancistrus cirrhosus dubius",2
"paratype of ancistrus occloi",2
"paratype of apistogramma piauiensis",2
"paratype of apogon snyderi| voucher of apogon kallopterus",2
"paratype of argentina brucei",2
"paratype of astronesthes micropogon",2
"paratype of astyanax abramoides",2
"paratype of astyanax guianensis",2
"paratype of atherina laticeps| syntype of atherina laticeps",2
"paratype of bagrus caeruleus",2
"paratype of bathylychnops chilensis",2
"paratype of bryconamericus alfredae",2
"paratype of champsodon machaeratus",2
"paratype of chironectes tigris",2
"paratype of citharichthys dinoceros",2
"paratype of clarias phillipsi",2
"paratype of coryphaenoides colon",2
"paratype of cyclocheilichthys coolidgei",2
"paratype of diaphus lewisi",2
"paratype of diaphus roei",2
"paratype of diaphus subtilis",2
"paratype of dolopichthys karsteni",2
"paratype of elassoma okatie",2
"paratype of etmopterus robinsi",2
"paratype of eustomias borealis",2
"paratype of gobiosoma (elacatinus) evelynae",2
"paratype of hemigrammus analis",2
"paratype of hemigrammus lunatus",2
"paratype of hemigrammus microstomus",2
"paratype of hemipteronotus baldwini",2
"paratype of hippoglossus ocellatus| paratype of hippoglossus ocellatus",2
"paratype of hydrolagus alberti",2
"paratype of hyphessobrycon eos",2
"paratype of hyphessobrycon stictus",2
"paratype of kelloggella disalvoi",2
"paratype of labrisomus (labrisomus) multiporosus",2
"paratype of laemonema goodebeanorum",2
