"dwc.preparations","freq"
"325 alc; 0 sk; 0 c&s",2
"328 alc; 0 sk; 0 c&s",2
"331 alc; 0 sk; 0 c&s",2
"334 alc; 0 sk; 0 c&s",2
"34 alc; 0 sk; 2 c&s",2
"343 alc; 0 sk; 0 c&s",2
"346 alc; 0 sk; 0 c&s",2
"35 alc; 0 sk; 2 c&s",2
"354 alc; 0 sk; 0 c&s",2
"36 alc; 0 sk; 2 c&s",2
"360 alc; 0 sk; 0 c&s",2
"363 alc; 0 sk; 0 c&s",2
"364 alc; 0 sk; 0 c&s",2
"369 alc; 0 sk; 0 c&s",2
"370 alc; 0 sk; 0 c&s",2
"372 alc; 0 sk; 0 c&s",2
"373 alc; 0 sk; 0 c&s",2
"382 alc; 0 sk; 0 c&s",2
"385 alc; 0 sk; 0 c&s",2
"390 alc; 0 sk; 0 c&s",2
"392 alc; 0 sk; 0 c&s",2
"4 alc; 0 sk; 4 c&s",2
"4 alc; 2 sk; 0 c&s",2
"400 alc; 0 sk; 0 c&s",2
"403 alc; 0 sk; 0 c&s",2
"406 alc; 0 sk; 0 c&s",2
"409 alc; 0 sk; 0 c&s",2
"416 alc; 0 sk; 0 c&s",2
"42 alc; 0 sk; 3 c&s",2
"42 alc; 0 sk; 4 c&s",2
"422 alc; 0 sk; 0 c&s",2
"426 alc; 0 sk; 0 c&s",2
"43 alc; 0 sk; 1 c&s",2
"440 alc; 0 sk; 0 c&s",2
"442 alc; 0 sk; 0 c&s",2
"443 alc; 0 sk; 0 c&s",2
"451 alc; 0 sk; 0 c&s",2
"454 alc; 0 sk; 0 c&s",2
"464 alc; 0 sk; 0 c&s",2
"468 alc; 0 sk; 0 c&s",2
"476 alc; 0 sk; 0 c&s",2
"48 alc; 0 sk; 2 c&s",2
"482 alc; 0 sk; 0 c&s",2
"488 alc; 0 sk; 0 c&s",2
"492 alc; 0 sk; 0 c&s",2
"53 alc; 0 sk; 2 c&s",2
"531 alc; 0 sk; 0 c&s",2
"551 alc; 0 sk; 0 c&s",2
"560 alc; 0 sk; 0 c&s",2
"566 alc; 0 sk; 0 c&s",2
"570 alc; 0 sk; 0 c&s",2
"579 alc; 0 sk; 0 c&s",2
"581 alc; 0 sk; 0 c&s",2
"584 alc; 0 sk; 0 c&s",2
"59 alc; 0 sk; 1 c&s",2
"592 alc; 0 sk; 0 c&s",2
"6 alc; 0 sk; 4 c&s",2
"6 alc; 1 sk; 0 c&s",2
"606 alc; 0 sk; 0 c&s",2
"619 alc; 0 sk; 0 c&s",2
"620 alc; 0 sk; 0 c&s",2
"673 alc; 0 sk; 0 c&s",2
"693 alc; 0 sk; 0 c&s",2
"708 alc; 0 sk; 0 c&s",2
"712 alc; 0 sk; 0 c&s",2
