"dwc.preparations","freq"
"95% EtOH (tiss) - 1; 70% EtOH - 2",4
"95% EtOH (tiss) - 6",4
"95% EtOH (tiss) - 9",4
"C&S - 4",4
"frozen (spec) - 4",4
"frozen to 95% EtOH - 2",4
"frozen to 95% EtOH - 5",4
"none - 4",4
"",3
"70% EtOH - 1; frozen to 95% EtOH - 10",3
"70% EtOH - 1; frozen to 95% EtOH - 2",3
"70% EtOH - 155",3
"70% EtOH - 160",3
"70% EtOH - 166",3
"70% EtOH - 18; 95% EtOH (spec) - 3",3
"70% EtOH - 182",3
"70% EtOH - 187",3
"70% EtOH - 2; 95% EtOH (spec) - 5",3
"70% EtOH - 2; frozen to 95% EtOH - 10",3
"70% EtOH - 209",3
"70% EtOH - 210",3
"70% EtOH - 211",3
"70% EtOH - 214",3
"70% EtOH - 215",3
"70% EtOH - 216",3
"70% EtOH - 222",3
"70% EtOH - 225",3
"70% EtOH - 234",3
"70% EtOH - 238",3
"70% EtOH - 239",3
"70% EtOH - 24; C&S - 2",3
"70% EtOH - 240",3
"70% EtOH - 248",3
"70% EtOH - 249",3
"70% EtOH - 252",3
"70% EtOH - 260",3
"70% EtOH - 263",3
"70% EtOH - 265",3
"70% EtOH - 269",3
"70% EtOH - 271",3
"70% EtOH - 291",3
"70% EtOH - 293",3
"70% EtOH - 3; 95% EtOH (spec) - 1",3
"70% EtOH - 3; 95% EtOH (spec) - 2",3
"70% EtOH - 301",3
"70% EtOH - 359",3
"70% EtOH - 380",3
"70% EtOH - 386",3
"70% EtOH - 4; frozen (spec) - 2",3
"70% EtOH - 400",3
"70% EtOH - 417",3
"70% EtOH - 5; 95% EtOH (spec) - 3",3
"70% EtOH - 7; C&S - 2",3
"70% EtOH - 761",3
"70% EtOH - 9; C&S - 6",3
"95% EtOH (spec) - 11",3
"95% EtOH (spec) - 17",3
"95% EtOH (spec) - 2; 70% EtOH - 13",3
"95% EtOH (spec) - 2; 70% EtOH - 3",3
"95% EtOH (spec) - 2; 70% EtOH - 5",3
"95% EtOH (spec) - 22",3
"95% EtOH (tiss) - 0",3
"95% EtOH (tiss) - 18",3
"95% EtOH (tiss) - 3; 70% EtOH - 3",3
"C&S - 1; 70% EtOH - 1",3
"C&S - 1; 70% EtOH - 2",3
"C&S - 1; 70% EtOH - 3",3
"C&S - 1; 70% EtOH - 4",3
"frozen (spec) - 18",3
"frozen (spec) - 2; 70% EtOH - 1",3
"frozen (spec) - 2; frozen to 95% EtOH - 2",3
"frozen (spec) - 3; 70% EtOH - 2",3
"frozen (spec) - 3; 70% EtOH - 4",3
"frozen (tiss) - 2; 70% EtOH - 2",3
"frozen to 95% EtOH - 1",3
"Skel - 3",3
"70% EtOH - 1; 95% EtOH (tiss) - 1; 95% EtOH (spec) - 1",2
"70% EtOH - 1; C&S - 3",2
"70% EtOH - 1; C&S - 5",2
"70% EtOH - 10; frozen (spec) - 2",2
"70% EtOH - 11; C&S - 2",2
"70% EtOH - 11; C&S - 5",2
"70% EtOH - 12; C&S - 1",2
"70% EtOH - 12; C&S - 2",2
"70% EtOH - 12; C&S - 3",2
"70% EtOH - 12; C&S - 5",2
"70% EtOH - 12; frozen to 95% EtOH - 10",2
"70% EtOH - 13; C&S - 2",2
"70% EtOH - 13; C&S - 5",2
"70% EtOH - 14; C&S - 5",2
"70% EtOH - 14; frozen to 95% EtOH - 10",2
"70% EtOH - 16; C&S - 2",2
"70% EtOH - 16; C&S - 5",2
"70% EtOH - 171",2
"70% EtOH - 18; frozen to 95% EtOH - 10",2
"70% EtOH - 188",2
"70% EtOH - 2; C&S - 1; 95% EtOH (tiss) - 3",2
