"Waterbody","Count"
"figure eight lake (uamz)",2
"ford lake",2
"frances river",2
"ganges river",2
"gantahaz lake",2
"gerharts lake",2
"gladstone creek",2
"gold lake",2
"good spirit lake",2
"goodwin lake (undet.)",2
"goose lake",2
"goose river",2
"grande prairie creek",2
"greenwater lake",2
"gull creek",2
"halfway river",2
"hanlan creek",2
"harper creek",2
"haynes creek",2
"hewitt lake",2
"howe sound",2
"inle lake",2
"islandcausk bridge",2
"jackfish lake",2
"jade lake",2
"jan lake",2
"jet lake",2
"johnson creek",2
"joyce lake",2
"joyce river",2
"junction creek",2
"keg river (undet.)",2
"kettle lake",2
"kneehills creek",2
"lago titicaca",2
"lake superior",2
"lanterman creek",2
"lee creek",2
"lee lake",2
"lesser slave river",2
"little enid lake",2
"little lafoe lake",2
"long lake",2
"lough corrib",2
"lutose creek",2
"manatokan creek",2
"manatokan lake",2
"mandanna creek",2
"marie creek",2
"marlboro lake (uamz)",2
"mason creek",2
"meadow creek",2
"michichi creek",2
"moose bay",2
"moose creek",2
"morice river",2
"mosher lake",2
"murdock creek",2
"mures river",2
"neva river",2
"nice creek",2
"north buck lake",2
"north heart river",2
"north washagami lake",2
"nyarling river",2
"okhotskoye more",2
"owl river",2
"pachena river",2
"parsons lake",2
"pasqua lake",2
"pincher creek",2
"pioneer bay",2
"pleasant river",2
"pocaterra creek",2
"potvin lake",2
"prentice creek",2
"raindrop lake",2
"rodge lake",2
"rustico bay",2
"sarah lake",2
"saunders lake",2
"seeseep lake",2
"seibert lake",2
"shelter valley creek",2
"shiningbank lake",2
"shoal creek",2
"siffleur river",2
"smith-dorrien creek",2
"solomon creek",2
"spring creek",2
"st. marys river",2
"stoney lake",2
"strouth lake",2
"sullivan creek",2
"sulphur lake",2
"sundance creek",2
"swan lake",2
"sweet sixteen lake (uamz)",2
"sylvan lake",2
"tasu sound",2
"tedori-gawa",2
"thurston lake",2
"tongue creek",2
"trappers lake",2
"trout lake",2
"twinredblox lake",2
"utikuma lake",2
"vandersteene lake",2
"vermilion lakes",2
"ware creek",2
"wasootch creek",2
"west kettle lake (uamz)",2
"wildhay river",2
"willow lake",2
"willow river",2
"windfall creek",2
"ada lake",1
"adams creek",1
"alice creek",1
"allison creek",1
"altrhein river",1
"alwyn creek",1
"amazon river",1
"amber river",1
"annapolis river",1
"arges river",1
"ash river",1
"ashizuri-misaki",1
"ashweig river",1
"astotin creek",1
"atim creek",1
"audrey lake",1
"ban aangtong bay",1
"battle lake",1
"bear lake",1
"bearhead creek",1
"beaver mines lake",1
"beaver ranch creek",1
"beaverlodge river",1
"beavertail creek",1
"becharof lake",1
"berry lakes",1
"big creek",1
"big darby creek",1
"big island lake",1
"big spring",1
"big trout lake",1
"birch lake (uamz)",1
"biscayne bay",1
"biwa-ko",1
"black creek",1
"blende river",1
"bobier lake",1
"bow lake",1
"boyer river",1
"boyne creek",1
"brainard lake",1
"brewster creek (undet.)",1
"brock lake",1
"brosna river",1
"buctouche river",1
"buffalo river (undet.)",1
"burleigh creek",1
"burrard inlet",1
"camsell river",1
"cape freycinet",1
"cardigan river",1
"caribou creek",1
"caribou lake",1
"carp river",1
"carrot creek",1
"castle river",1
"chain lakes",1
"charron lake",1
"chester lake",1
"china creek",1
"chip lake",1
"chipewyan lake",1
"chungo creek",1
"clairmont lake",1
"clear lake",1
"cline river",1
"comox harbour",1
"coral sea",1
"cordick lake",1
"crazy creek",1
"crowsnest creek",1
"crowsnest river",1
"cuddeback lake",1
"daisy creek",1
"dapp creek",1
"darlings lake",1
"davis strait",1
"denmark strait",1
"devils lake",1
"digdeguash river",1
"doran's lake",1
"doris creek",1
"dove creek",1
"driftwood river",1
"drizzle lake",1
"dutch creek",1
